sysname	name	chr	posup	posdown	strand	control	type	alias	info	meanexp	logFC	pval	padj
YAL013W	DEP1	1	129270	130487	W	Verified	ORF	Rpd3L histone deacetylase complex subunit DEP1|FUN54	Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation	1686.37949261925	0.00704693903058684	0.87602269083595	0.955012423898635
YAL014C	SYN8	1	128252	129019	C	Verified	ORF	syntaxin|SLT2|UIP2	Endosomal SNARE related to mammalian syntaxin 8	1483.29981186405	-0.0362065554005196	0.416728907197239	0.70516755687154
YAL015C	NTG1	1	126903	128102	C	Verified	ORF	bifunctional N-glycosylase/AP lyase NTG1|ogg2|SCR1|FUN33	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication	1453.32993249414	0.0150674320937446	0.699819063508303	0.879065318586267
YAL016C-A	YAL016C-A	1	124755	125069	C	Dubious	ORF		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF TPD3/YAL016W	4.88762945946578	0.00874412214080711	0.739251002214171	0.897176507615589
YAL016W	TPD3	1	124879	126786	W	Verified	ORF	protein phosphatase 2A structural subunit TPD3|FUN32	Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III	9443.34405477605	-0.0347709768347835	0.211436207283989	0.511152095170714
YAL017W	PSK1	1	120225	124295	W	Verified	ORF	serine/threonine protein kinase PSK1|FUN31	PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication	2774.18731248573	0.0467277870928975	0.328210841271762	0.634482160402751
YAL019W	FUN30	1	114919	118314	W	Verified	ORF	DNA-dependent ATPase FUN30	Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate	7105.86581910251	0.00540773864058686	0.880492548253042	0.956268467660633
YAL020C	ATS1	1	113614	114615	C	Verified	ORF	KTI13|FUN28	Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p	1414.17771914198	-0.0407586739371284	0.286270222555995	0.589587975210191
YAL021C	CCR4	1	110846	113359	C	Verified	ORF	CCR4-NOT core exoribonuclease subunit CCR4|NUT21|FUN27	Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening	2791.22122224639	-0.0290282615389335	0.522279474284713	0.771241144983028
YAL022C	FUN26	1	108877	110430	C	Verified	ORF	nucleoside transmembrane transporter FUN26	High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member	3878.88887256937	-0.0569334280080453	0.126550584955568	0.390508641511685
YAL023C	PMT2	1	106272	108551	C	Verified	ORF	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2|FUN25	Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication	20167.6042662311	-0.0514853981786961	0.143326267313058	0.416967535941699
YAL024C	LTE1	1	101565	105872	C	Verified	ORF	mitotic regulator LTE1|MSI2	Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures	2196.70339668569	0.0511468522272732	0.131234721150419	0.398131692261815
YAL025C	MAK16	1	100225	101145	C	Verified	ORF	ribosome biosynthesis protein MAK16	Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus	9998.15466085217	-0.058352418440328	0.167437686434627	0.451971803673206
YAL026C	DRS2	1	95630	99697	C	Verified	ORF	aminophospholipid-translocating P4-type ATPase DRS2|SWA3|FUN38	Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease	6893.32992734561	0.0218775403257991	0.50335126266856	0.762312241225675
YAL026C-A	YAL026C-A	1	95386	95823	C	Dubious	ORF		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2	274.632961032174	-0.0432786989103888	0.477533939688648	0.746389957335189
YAL027W	SAW1	1	94687	95472	W	Verified	ORF	DNA-binding protein SAW1	5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus	674.173609865432	0.0670216730695741	0.143885841627237	0.418002533349193
YAL028W	FRT2	1	92900	94486	W	Verified	ORF	HPH2	Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication	332.174707389695	0.135591546451605	0.023019895538868	0.145772946120211
YAL029C	MYO4	1	87855	92270	C	Verified	ORF	myosin 4|SHE1|FUN22	Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication	9165.88903857306	-0.00965537339291437	0.75475439968734	0.902254898621776
YAL030W	SNC1	1	87286	87752	W	Verified	ORF	SNAP receptor SNC1	Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication	1237.69696320478	-0.0547713220705466	0.287205371039124	0.591154116713218
YAL031C	GIP4	1	84749	87031	C	Verified	ORF	protein phosphatase regulator GIP4|FUN21	Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate	1693.67129770703	0.114712632140207	0.00348088205804373	0.0388980121243528
YAL032C	PRP45	1	83335	84474	C	Verified	ORF	mRNA splicing protein PRP45|FUN20	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene	1277.48464490632	-0.0273020605062649	0.525439661954571	0.772586932689973
YAL033W	POP5	1	82706	83227	W	Verified	ORF	RNA-binding protein POP5|FUN53	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs	1151.07886157941	-0.0182390255083656	0.689544147422007	0.873434713509739
YAL034C	FUN19	1	80710	81951	C	Verified	ORF		Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication	1010.39841622429	0.0498850569084259	0.303252905475041	0.608119620447613
YAL034W-A	MTW1	1	79718	80587	W	Verified	ORF	MIND complex subunit MTW1|NSL2|DSN3	Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)	573.386192197109	0.0201336486234315	0.683814816559453	0.870653599402577
YAL035W	FUN12	1	76427	79435	W	Verified	ORF	translation initiation factor eIF5B|eIF5B|yIF2	Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2	39772.5142952328	-0.0333281432369892	0.181125729351068	0.471025111800901
YAL036C	RBG1	1	75043	76152	C	Verified	ORF	GTP-binding protein RBG1|FUN11	Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid	8527.90151045188	-0.102619463245502	0.000489048324828601	0.00907894551415677
YAL037C-B	YAL037C-B	1	72326	73300	C	Dubious	ORF		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	73.4633232959504	-0.0370845173402675	0.200294627435715	0.49975774000613
YAL037W	YAL037W	1	74020	74823	W	Uncharacterized	ORF		Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication	228.867737026995	0.0761517261296076	0.211180269202558	0.510862736133133
YAL038W	CDC19	1	71786	73288	W	Verified	ORF	pyruvate kinase CDC19|PYK1	Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication	301503.779285414	-0.126858941432665	2.2927663379417e-05	0.00086808357071411
YAL039C	CYC3	1	68716	69525	C	Verified	ORF	holocytochrome c synthase CYC3|CCHL	Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS), and can complement yeast null mutant	1404.84797425608	-0.0319516065558285	0.411189347613673	0.700323970262411
YAL040C	CLN3	1	65778	67520	C	Verified	ORF	cyclin CLN3|WHI1|FUN10|DAF1	G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1	3002.69839614439	-0.0276503207009861	0.474481430092992	0.742881149494133
YAL041W	CDC24	1	62840	65404	W	Verified	ORF	Rho family guanine nucleotide exchange factor CDC24|CLS4	Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42	4109.56822541623	-0.0283936092913899	0.42248945228927	0.708090421910608
YAL042C-A	YAL042C-A	1	61231	61608	C	Dubious	ORF	YAL043C-A	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene	2.58238307798431	-0.00294140413241181	0.88897670648124	0.958144888400623
YAL042W	ERV46	1	61316	62563	W	Verified	ORF	FUN9	Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport	11995.8740438095	-0.0207630733540212	0.45236592476573	0.728914089285284
YAL043C	PTA1	1	58695	61052	C	Verified	ORF	RNA-processing protein PTA1|FUN39	Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII	2572.82423946712	0.00704368854194648	0.843766382120306	0.940237504026421
YAL044C	GCV3	1	57950	58462	C	Verified	ORF	glycine decarboxylase subunit H	H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF	7700.71246789439	0.0341813193838953	0.322581732978831	0.629772643254739
YAL044W-A	BOL1	1	57518	57850	W	Verified	ORF		Mitochondrial matrix protein involved in Fe-S cluster biogenesis; facilitates [4Fe-2S] cluster inception into mitochondrial proteins such as lipoate synthase and succinate dehydrogenase; interacts and may function with Grx5p at an early step in Fe-S cluster biosynthesis; forms dimeric complexes with Grx5p and Nfu1p that alter the stability of shared Fe/S clusters; sequence similarity to human BOLA family member, BOLA1 and S. pombe uvi31, a putative DNA repair protein	1038.31794440194	-0.0101885692276348	0.83410696650116	0.937006752335384
YAL045C	YAL045C	1	57488	57796	C	Dubious	ORF		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A	2.36106859871432	0.00965778650840817	0.644820221115329	0.850547873600439
YAL046C	BOL3	1	57029	57385	C	Verified	ORF	AIM1	Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member, BOLA3, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2)	848.028507219482	-0.112093002417032	0.0343264179238933	0.185491582302353
YAL047C	SPC72	1	54989	56857	C	Verified	ORF	gamma-tubulin complex subunit SPC72|LDB4	Gamma-tubulin small complex (gamma-TuSC) receptor; recruits the gamma-TuSC complex to the cytoplasmic side of the SPB, connecting nuclear microtubules to the SPB; involved in astral microtubule formation, stabilization, and with Stu2p, anchoring astral MTs at the cytoplasmic face of the SPB, and regulating plus-end MT dynamics; regulated by Cdc5 kinase	1300.11067347043	0.0745922314959462	0.0464476333532113	0.221463239393315
YAL048C	GEM1	1	52801	54789	C	Verified	ORF	ERMES complex Ca(2+)-binding regulatory GTPase GEM1|GON1	Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases	1543.81692830459	0.0536189550177751	0.172910233601929	0.461529786051669
YAL049C	AIM2	1	51855	52595	C	Verified	ORF	protein AIM2	Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor	2148.43622141668	-0.127522139168893	0.00161535210066613	0.0218224209843512
YAL051W	OAF1	1	48564	51707	W	Verified	ORF	oleate-activated transcription factor OAF1|YAF1	Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication	2303.09265727362	0.035114127731443	0.438009213123516	0.721392432654683
YAL053W	FLC2	1	45899	48250	W	Verified	ORF	flavin adenine dinucleotide transporter FLC2|HUF2	Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication	6662.93141595313	-0.0600614544801915	0.0244599232056667	0.151199632705276
YAL054C	ACS1	1	42881	45022	C	Verified	ORF	acetate--CoA ligase 1|FUN44	Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions	379.582009217022	-0.0219911412331628	0.675959828169691	0.866086330243326
YAL055W	PEX22	1	42177	42719	W	Verified	ORF	ubiquitin-protein transferase activating protein PEX22|YAF5	Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation	644.650845286721	-0.0278026842563426	0.602303940590609	0.823558002859452
YAL056W	GPB2	1	39259	41901	W	Verified	ORF	KRH1	Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication	4532.03827908566	-0.00112988361152476	0.965680027247337	0.987369882720544
YAL058W	CNE1	1	37464	38972	W	Verified	ORF	calnexin|FUN48	Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast	2194.80582963606	-0.05954699307146	0.0619035761997079	0.258530537757125
YAL059W	ECM1	1	36509	37147	W	Verified	ORF		Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm	3287.81051255397	-0.0823431817526748	0.0613832382267618	0.256823981419559
YAL060W	BDH1	1	35155	36303	W	Verified	ORF	(R,R)-butanediol dehydrogenase|BDH	NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source	6875.62643169076	0.147589430537564	0.00022928033353896	0.00511437333146013
YAL061W	BDH2	1	33448	34701	W	Uncharacterized	ORF	putative dehydrogenase BDH2	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3	444.460908830438	-0.052658077312361	0.41500391489075	0.703614677063256
YAL062W	GDH3	1	31567	32940	W	Verified	ORF	glutamate dehydrogenase (NADP(+)) GDH3|FUN51	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication	219.576639600073	0.0352841128104072	0.576628125166265	0.809031609629163
YAL063C	FLO9	1	24000	27968	C	Verified	ORF	flocculin FLO9	Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation	177.603083809208	0.0178663298053437	0.775030400433685	0.911567536173279
YAL064W-B	YAL064W-B	1	12046	12426	W	Uncharacterized	ORF		Fungal-specific protein of unknown function	33.4566984824566	0.0484215565528001	0.401177014627848	0.691592460026154
YAL067C	SEO1	1	7235	9016	C	Verified	ORF	putative permease SEO1	Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide	88.516557216538	0.272107728256908	2.00699041067138e-05	0.00078042093333877
YAR002C-A	ERP1	1	154065	154724	C	Verified	ORF		Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control; forms heterotrimeric complex with Erp2p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog, ERP6, that arose from the whole genome duplication	8190.35573873786	-0.0499798393399074	0.0862116635188094	0.315816755920273
YAR002W	NUP60	1	152257	153876	W	Verified	ORF	FG-nucleoporin NUP60	FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153	5985.90755987335	0.0465748208341577	0.127931458821978	0.391685527141398
YAR003W	SWD1	1	155005	156285	W	Verified	ORF	COMPASS subunit protein SWD1|SAF49|CPS50|FUN16	Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7	2074.35455304559	-0.040550880729555	0.295229009683415	0.601431133001081
YAR007C	RFA1	1	156754	158619	C	Verified	ORF	replication factor A subunit protein RFA1|RPA70|RPA1|FUN3|BUF2	Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination; RPA protects against inappropriate telomere recombination, and upon telomere uncapping, prevents cell proliferation by a checkpoint-independent pathway; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia	5043.60403573521	-0.0363402589824569	0.164358794071528	0.447012853339771
YAR008W	SEN34	1	158966	159793	W	Verified	ORF	tRNA splicing endonuclease subunit SEN34|FUN4	Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease (Sen complex) is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen complex also cleaves the CBP1 mRNA at the mitochondrial surface; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease	1379.6349179022	-0.0363158098944575	0.385717689475593	0.680300215353247
YAR009C	NA	NA	NA	NA	NA	NA	NA	NA	NA	25327.2104378779	-0.193896611799263	0.000273708807766562	0.00574888390035243
YAR014C	BUD14	1	166742	168871	C	Verified	ORF	protein phosphatase regulator BUD14	Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; forms a complex with Kel1p and Kel2p that regulates Bnr1p (formin) to affect actin cable assembly, cytokinesis, and polarized growth; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress	6178.73014433099	0.00451640128430853	0.870787759338631	0.952764976769008
YAR015W	ADE1	1	169375	170295	W	Verified	ORF	phosphoribosylaminoimidazolesuccinocarboxamide synthase	N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress	5778.97758420177	-0.0497440490711321	0.14095470560305	0.414297411003858
YAR018C	KIN3	1	170396	171703	C	Verified	ORF	serine/threonine protein kinase KIN3|NPK1|FUN52	Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol	1364.68131182085	-0.116262125783479	0.00176997843954777	0.0236313223914306
YAR019C	CDC15	1	172211	175135	C	Verified	ORF	serine/threonine protein kinase CDC15|LYT1	Protein kinase of the Mitotic Exit Network; localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p; required for spindle disassembly after meiosis II; relocalizes to the cytoplasm upon DNA replication stress	1054.98086286801	0.0587290320148113	0.167348042310946	0.451941803613089
YAR023C	YAR023C	1	179281	179820	C	Uncharacterized	ORF	DUP240 family protein	Putative integral membrane protein; member of DUP240 gene family	128.8980180514	-0.0201598848507853	0.755262537333449	0.902254898621776
