sysname	name	chr	posup	posdown	strand	control	type	alias	numPro	numTer	numSyn	numMiS	numNoS	Varelse	LocQTLLOD	info
YAL060W	BDH1	1	35155	36303	W	Verified	ORF	(R,R)-butanediol dehydrogenase|BDH	5	0	11	5	0	0	100.811735221289	NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source
YAL059C-A		1	36496	36918	C	Dubious	ORF		0	7	5	2	1	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene ECM1/YAL059W
YAL059W	ECM1	1	36509	37147	W	Verified	ORF		6	0	6	4	1	0	0	Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm
YAL058W	CNE1	1	37464	38972	W	Verified	ORF	calnexin|FUN48	8	0	7	10	0	0	0	Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast
YAL056C-A		1	38696	39046	C	Dubious	ORF	YAL058C-A	0	9	1	3	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL056W	GPB2	1	39259	41901	W	Verified	ORF	KRH1	8	0	14	6	0	0	244.787266777016	Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication
ARS105		1	41992	42151			ARS	ARSI-42								Autonomously Replicating Sequence
YAL055W	PEX22	1	42177	42719	W	Verified	ORF	ubiquitin-protein transferase activating protein PEX22|YAF5	7	0	6	3	0	0	20.6275386316667	Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation
YAL054C	ACS1	1	42881	45022	C	Verified	ORF	acetate--CoA ligase 1|FUN44	0	8	9	2	0	0	40.0656188626237	Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions
YAL053W	FLC2	1	45899	48250	W	Verified	ORF	flavin adenine dinucleotide transporter FLC2|HUF2	5	0	14	1	0	0	0	Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication
YAL051W	OAF1	1	48564	51707	W	Verified	ORF	oleate-activated transcription factor OAF1|YAF1	2	0	22	3	0	0	0	Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication
YAL049C	AIM2	1	51855	52595	C	Verified	ORF	protein AIM2	0	2	2	2	0	0	332.591545006028	Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor
YAL048C	GEM1	1	52801	54789	C	Verified	ORF	ERMES complex Ca(2+)-binding regulatory GTPase GEM1|GON1	0	5	29	1	0	0	0	Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases
YAL047W-A		1	54584	54913	W	Dubious	ORF		7	0	9	0	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF GEM1/YAL048C
YAL047C	SPC72	1	54989	56857	C	Verified	ORF	gamma-tubulin complex subunit SPC72|LDB4	0	10	10	5	0	0	4.47270867662975	Gamma-tubulin small complex (gamma-TuSC) receptor; recruits the gamma-TuSC complex to the cytoplasmic side of the SPB, connecting nuclear microtubules to the SPB; involved in astral microtubule formation, stabilization, and with Stu2p, anchoring astral MTs at the cytoplasmic face of the SPB, and regulating plus-end MT dynamics; regulated by Cdc5 kinase
YAL046C	BOL3	1	57029	57385	C	Verified	ORF	AIM1	0	5	3	0	0	0	0	Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member, BOLA3, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2)
YAL045C		1	57488	57796	C	Dubious	ORF		0	3	0	2	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A
YAL044W-A	BOL1	1	57518	57850	W	Verified	ORF		3	0	0	2	0	0	0	Mitochondrial matrix protein involved in Fe-S cluster biogenesis; facilitates [4Fe-2S] cluster inception into mitochondrial proteins such as lipoate synthase and succinate dehydrogenase; interacts and may function with Grx5p at an early step in Fe-S cluster biosynthesis; forms dimeric complexes with Grx5p and Nfu1p that alter the stability of shared Fe/S clusters; sequence similarity to human BOLA family member, BOLA1 and S. pombe uvi31, a putative DNA repair protein
YAL044C	GCV3	1	57950	58462	C	Verified	ORF	glycine decarboxylase subunit H	0	2	1	0	0	0	2.78081044254568	H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF
YAL043C	PTA1	1	58695	61052	C	Verified	ORF	RNA-processing protein PTA1|FUN39	0	4	16	4	0	0	0	Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII
YAL042C-A		1	61231	61608	C	Dubious	ORF	YAL043C-A	0	2	0	0	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene
YAL042W	ERV46	1	61316	62563	W	Verified	ORF	FUN9	1	0	0	1	0	0	21.7163122350822	Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport
YAL041W	CDC24	1	62840	65404	W	Verified	ORF	Rho family guanine nucleotide exchange factor CDC24|CLS4	2	0	3	0	0	0	0	Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42
YAL040C	CLN3	1	65778	67520	C	Verified	ORF	cyclin CLN3|WHI1|FUN10|DAF1	0	11	9	3	0	0	2.97080727747306	G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1
YAL039C	CYC3	1	68716	69525	C	Verified	ORF	holocytochrome c synthase CYC3|CCHL	0	1	1	0	0	0	96.3676756371417	Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS), and can complement yeast null mutant
ARS106		1	70300	70469			ARS	ARSI-70								Autonomously Replicating Sequence
YAL038W	CDC19	1	71786	73288	W	Verified	ORF	pyruvate kinase CDC19|PYK1	1	0	0	0	0	0	3.14132852458271	Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication
YAL037C-B		1	72326	73300	C	Dubious	ORF		0	0	0	0	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
YAL037C-A		1	73426	73518	C	Uncharacterized	ORF		0	0	0	0	0	0	0	Putative protein of unknown function
YAL037W		1	74020	74823	W	Uncharacterized	ORF		0	0	0	2	0	0	0	Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication
YAL036C	RBG1	1	75043	76152	C	Verified	ORF	GTP-binding protein RBG1|FUN11	0	2	1	0	0	0	0	Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid
YAL035W	FUN12	1	76427	79435	W	Verified	ORF	translation initiation factor eIF5B|eIF5B|yIF2	4	0	1	3	0	1	0	Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2
YAL034C-B		1	79489	79842	C	Dubious	ORF	YAL035C-A	0	0	0	0	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL034W-A	MTW1	1	79718	80587	W	Verified	ORF	MIND complex subunit MTW1|NSL2|DSN3	0	0	0	0	0	0	0	Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)
YAL034C	FUN19	1	80710	81951	C	Verified	ORF		0	0	2	0	0	0	0	Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication
YAL033W	POP5	1	82706	83227	W	Verified	ORF	RNA-binding protein POP5|FUN53	2	0	0	0	0	0	61.975811486684	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs
YAL032C	PRP45	1	83335	84474	C	Verified	ORF	mRNA splicing protein PRP45|FUN20	0	1	1	1	0	0	31.7038720951621	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene
YAL031W-A		1	84669	84977	W	Dubious	ORF		0	0	0	2	0	1	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF GIP4/YAL031C
YAL031C	GIP4	1	84749	87031	C	Verified	ORF	protein phosphatase regulator GIP4|FUN21	0	1	0	3	0	0	0	Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate
YAL030W	SNC1	1	87286	87752	W	Verified	ORF	SNAP receptor SNC1	0	0	1	1	1	1	0	Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication
YAL029C	MYO4	1	87855	92270	C	Verified	ORF	myosin 4|SHE1|FUN22	0	1	15	10	0	0	5.9841935394641	Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication
YAL028W	FRT2	1	92900	94486	W	Verified	ORF	HPH2	1	0	1	2	0	0	14.879480630575	Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication
YAL027W	SAW1	1	94687	95472	W	Verified	ORF	DNA-binding protein SAW1	2	0	0	0	0	0	4.48893086145291	5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus
YAL026C-A		1	95386	95823	C	Dubious	ORF		0	0	0	0	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2
YAL026C	DRS2	1	95630	99697	C	Verified	ORF	aminophospholipid-translocating P4-type ATPase DRS2|SWA3|FUN38	0	0	0	1	0	0	0	Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease
HRA1	HRA1	1	99305	99868	W		ncRNA_gene									Non-protein-coding RNA; substrate of RNase P, possibly involved in rRNA processing, specifically maturation of 20S precursor into the mature 18S rRNA
YAL025C	MAK16	1	100225	101145	C	Verified	ORF	ribosome biosynthesis protein MAK16	0	0	0	0	0	0	0	Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus
YAL024C	LTE1	1	101565	105872	C	Verified	ORF	mitotic regulator LTE1|MSI2	0	0	0	0	0	0	0	Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures
YAL023C	PMT2	1	106272	108551	C	Verified	ORF	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2|FUN25	0	1	1	0	0	0	0	Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication
YAL022C	FUN26	1	108877	110430	C	Verified	ORF	nucleoside transmembrane transporter FUN26	0	1	1	0	0	0	13.1383896252004	High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member
YAL021C	CCR4	1	110846	113359	C	Verified	ORF	CCR4-NOT core exoribonuclease subunit CCR4|NUT21|FUN27	0	0	2	5	0	1	0	Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening
YAL020C	ATS1	1	113614	114615	C	Verified	ORF	KTI13|FUN28	0	3	0	0	0	0	4.68317299140718	Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p
YAL019W-A		1	114250	114819	W	Dubious	ORF		0	0	0	2	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF ATS1/YAL020C
YAL019W	FUN30	1	114919	118314	W	Verified	ORF	DNA-dependent ATPase FUN30	3	0	0	1	0	0	15.1211178042409	Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate
YAL018C	LDS1	1	118564	119541	C	Verified	ORF		0	0	3	1	0	0	0	Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants
YAL017W	PSK1	1	120225	124295	W	Verified	ORF	serine/threonine protein kinase PSK1|FUN31	1	0	1	1	0	0	0	PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication
YAL016C-B		1	124307	124492	C	Dubious	ORF		0	0	0	0	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
ARS107		1	124349	124597			ARS	ARSI-125								Autonomously Replicating Sequence
YAL016C-A		1	124755	125069	C	Dubious	ORF		0	0	0	0	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF TPD3/YAL016W
YAL016W	TPD3	1	124879	126786	W	Verified	ORF	protein phosphatase 2A structural subunit TPD3|FUN32	0	0	0	0	0	0	0	Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III
YAL015C	NTG1	1	126903	128102	C	Verified	ORF	bifunctional N-glycosylase/AP lyase NTG1|ogg2|SCR1|FUN33	0	0	0	1	0	0	0	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication
YAL014C	SYN8	1	128252	129019	C	Verified	ORF	syntaxin|SLT2|UIP2	0	2	0	2	0	0	0	Endosomal SNARE related to mammalian syntaxin 8
YAL013W	DEP1	1	129270	130487	W	Verified	ORF	Rpd3L histone deacetylase complex subunit DEP1|FUN54	0	0	3	3	0	0	4.61087300091847	Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation
YAL012W	CYS3	1	130799	131983	W	Verified	ORF	cystathionine gamma-lyase CYS3|STR1|FUN35|CYI1	3	0	4	0	0	0	3.30845760489812	Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress
YAL011W	SWC3	1	132199	134076	W	Verified	ORF	SWC1	2	0	12	5	0	0	21.0616837124714	Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae
YAL010C	MDM10	1	134184	135665	C	Verified	ORF	FUN37	0	2	4	6	0	0	8.64259529136614	Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase
YAL009W	SPO7	1	135854	136633	W	Verified	ORF	Nem1-Spo7 phosphatase regulatory subunit SPO7	2	0	4	2	0	0	15.4176990364404	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation
YAL008W	FUN14	1	136914	137510	W	Verified	ORF	MCP3	2	0	4	2	0	0	17.1209762744809	Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis
YAL007C	ERP2	1	137698	138345	C	Verified	ORF		0	3	0	1	0	0	0	Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication
YALCdelta2		1	138831	138992	C		long_terminal_repeat									Ty1 LTR
tP(UGG)A	TRN1	1	139152	139254	W		tRNA_gene									Proline tRNA (tRNA-Pro), predicted by tRNAscan-SE analysis; target of K. lactis zymocin; can mutate to suppress +1 frameshift mutations in proline codons
YAL005C	SSA1	1	139503	141431	C	Verified	ORF	Hsp70 family ATPase SSA1|YG100	0	10	4	4	0	0	0	ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils
YAL004W		1	140760	141407	W	Dubious	ORF		1	0	2	4	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C
YAL003W	EFB1	1	142174	143160	W	Verified	ORF	translation elongation factor 1 subunit beta|EF-1beta|eEF1Balpha|TEF5	5	0	1	0	0	1	35.0138625259508	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants
snR18	SNR18	1	142367	142468	W		snoRNA_gene									C/D box small nucleolar RNA (snoRNA); commonly referred to as U18; guides 2'-O-methylation of large subunit (LSU) rRNA at positions A649 and C650
YAL002W	VPS8	1	143707	147531	W	Verified	ORF	CORVET complex membrane-binding subunit VPS8|VPL8|VPT8|FUN15	3	0	3	5	0	0	0	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif
ARS108		1	147398	147717			ARS	ARSI-147								Autonomously Replicating Sequence
YAL001C	TFC3	1	147594	151166	C	Verified	ORF	transcription factor TFIIIC subunit TFC3|tau 138|TSV115|FUN24	0	0	6	4	1	1	0	Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)
CEN1	CEN1	1	151465	151582	W		centromere									Chromosome I centromere
YAR002W	NUP60	1	152257	153876	W	Verified	ORF	FG-nucleoporin NUP60	8	0	4	5	0	0	26.8873736817472	FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153
YAR002C-A	ERP1	1	154065	154724	C	Verified	ORF		0	2	2	1	0	0	18.4688539285508	Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control; forms heterotrimeric complex with Erp2p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog, ERP6, that arose from the whole genome duplication
YAR003W	SWD1	1	155005	156285	W	Verified	ORF	COMPASS subunit protein SWD1|SAF49|CPS50|FUN16	3	0	2	0	0	0	6.82511412981824	Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7
YAR007C	RFA1	1	156754	158619	C	Verified	ORF	replication factor A subunit protein RFA1|RPA70|RPA1|FUN3|BUF2	0	18	13	2	0	0	0	Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination; RPA protects against inappropriate telomere recombination, and upon telomere uncapping, prevents cell proliferation by a checkpoint-independent pathway; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia
